feature,importance
merchant_to_customer_km,0.19791672678944783
dispatch_wait_min,0.15703525341202434
courier_to_customer_km,0.13292303207153916
promised_remaining_min,0.1262018886425746
courier_to_merchant_km,0.1115328720965336
da_id_18,0.03687769217993533
prep_remaining_min,0.03494093527775802
da_id_6,0.03278915456996421
estimated_prep_duration_min,0.02929608725002393
dispatch_hour_3,0.019304373029641032
da_id_0,0.011399562699788195
dispatch_hour_9,0.010153906785331934
dispatch_dayofweek_0,0.006665012389651363
dispatch_hour_10,0.006007893183894096
dispatch_hour_5,0.005930108455764473
